2	20	26
3	21	26
4	21	25
5	21	24
6	21	23
7	22	23
8	23	23
9	23	22
10	24	22
11	24	21
12	23	21
13	22	21
14	22	22
15	21	22
16	21	21
17	21	20
18	20	20
19	20	21
20	20	22
21	20	23
22	20	24
23	20	25
24	21	25
25	22	25
26	22	24
27	23	24
28	23	25
29	24	25
30	25	25
31	25	26
32	26	26
33	27	26
34	28	26
35	29	26
36	30	26
37	30	25
38	29	25
39	28	25
40	27	25
41	26	25
42	26	26
43	26	27
44	27	27
45	28	27
46	28	28
47	29	28
48	30	28
49	31	28
50	31	29
51	30	29
52	29	29
53	28	29
54	27	29
55	26	29
56	26	30
57	26	31
58	25	31
59	25	30
60	25	29
61	24	29
62	24	28
63	24	27
64	23	27
65	23	28
66	23	29
67	23	30
68	24	30
69	24	31
70	24	32
71	23	32
72	22	32
73	21	32
74	20	32
75	20	31
76	19	31
77	19	30
78	18	30
79	18	29
80	18	28
81	19	28
82	19	27
83	18	27
84	18	26
85	19	26
86	19	25
87	19	24
88	18	24
89	18	25
90	17	25
91	17	26
92	17	27
93	17	28
94	17	29
95	17	30
96	18	30
97	18	31
98	19	31
99	19	32
100	20	32
101	20	31
102	21	31
103	22	31
104	23	31
105	23	30
106	22	30
107	22	29
108	21	29
109	21	28
110	21	27
111	22	27
112	22	26
113	23	26
114	24	26
115	25	26
116	25	27
117	25	28
118	26	28
119	27	28
120	27	27
121	27	26
122	28	26
123	29	26
124	29	27
125	30	27
126	31	27
127	31	26
128	32	26
129	32	27
130	33	27
131	33	26
132	33	25
133	32	25
134	31	25
135	30	25
136	30	24
137	29	24
138	28	24
139	27	24
140	27	23
141	26	23
142	26	22
143	25	22
144	25	23
145	24	23
146	24	24
147	25	24
148	25	25
149	26	25
150	26	24
151	26	23
152	26	22
153	27	22
154	28	22
155	28	23
156	29	23
157	30	23
158	31	23
159	31	22
160	30	22
161	30	21
162	29	21
163	28	21
164	27	21
165	26	21
166	25	21
167	25	20
168	24	20
169	24	21
170	24	22
171	23	22
172	23	23
173	23	24
174	22	24
175	21	24
176	21	23
177	22	23
178	22	22
179	22	21
180	22	20
181	23	20
182	23	21
183	24	21
184	24	22
185	25	22
186	25	23
187	24	23
188	24	24
189	24	25
190	23	25
191	22	25
192	22	26
193	21	26
194	20	26
195	20	27
196	20	28
197	20	29
198	20	30
199	21	30
200	21	29
201	21	28
202	22	28
203	23	28
204	24	28
205	24	27
206	23	27
207	23	26
208	24	26
209	25	26
210	25	27
211	26	27
212	26	28
213	25	28
214	25	29
215	24	29
216	23	29
217	22	29
218	22	28
219	22	27
220	21	27
221	21	26
222	21	25
223	20	25
224	20	24
225	20	23
226	21	23
227	21	24
228	22	24
229	23	24
230	23	23
231	23	22
232	23	21
233	23	20
234	23	19
235	24	19
236	25	19
237	25	18
238	24	18
239	23	18
240	22	18
241	22	19
242	21	19
243	21	20
244	21	21
245	21	22
246	20	22
247	19	22
248	18	22
249	18	21
250	18	20
251	18	19
252	19	19
253	20	19
254	20	18
255	21	18
256	21	19
257	22	19
258	22	20
259	22	21
260	22	22
261	22	23
262	23	23
263	24	23
264	25	23
265	25	24
266	25	25
267	26	25
268	27	25
269	28	25
270	29	25
271	29	24
272	28	24
273	27	24
274	27	23
275	27	22
276	28	22
277	29	22
278	30	22
279	30	23
280	30	24
281	31	24
282	32	24
283	33	24
284	33	23
285	32	23
286	31	23
287	31	22
288	31	21
289	32	21
290	32	22
291	33	22
292	33	21
293	33	20
294	32	20
295	31	20
296	30	20
297	29	20
298	29	19
299	30	19
300	31	19
301	30	19
302	30	18
303	29	18
304	28	18
305	28	17
306	27	17
307	27	18
308	27	19
309	27	20
310	26	20
311	26	21
312	27	21
